"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","34/1351","205/9521",0.165853658536585,1.16883248181112,0.99369548286528,0.184669938980051,0.419152164132352,0.319719423441916,"5718/3455/9612/10213/5609/6416/5601/596/3551/567/3133/5710/4792/5701/5602/5717/4067/9861/7189/4793/960/4794/956/3126/7157/3065/8900/57506/7128/2923/5603/3280/6885/5719",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","27/1351","160/9521",0.16875,1.1892440784604,0.981649135020444,0.190933007860995,0.430535213804204,0.328402146303741,"9672/23114/23705/24146/1462/5792/139065/9379/3133/5175/26047/9378/257194/26050/3689/9369/3655/64101/3126/25945/51208/22854/6385/923/100506658/3696/6382",27
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","10/1351","52/9521",0.192307692307692,1.35526390707738,1.0445658460565,0.194838881882551,0.435490850887245,0.332182189845344,"4190/2805/3939/3945/2806/10768/586/29968/4507/23382",10
NA,NA,"hsa04518","Integrin signaling","26/1351","154/9521",0.168831168831169,1.18981610543417,0.965668976337866,0.195655309818907,0.435490850887245,0.332182189845344,"5228/3679/2316/1277/998/3693/55742/3912/2064/3479/2475/3689/3655/2317/5156/5747/2200/80144/5829/3672/3082/1293/1284/3696/255743/3691",26
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","19/1351","109/9521",0.174311926605505,1.22844104604812,0.975397302769567,0.198324553016646,0.438602376863736,0.334555588759524,"5601/3551/5530/4792/5602/2475/5532/4793/3326/4794/3126/3554/6095/5534/3572/5603/5533/5914/5588",19
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","12/1351","65/9521",0.184615384615385,1.30105335079428,0.990333641805084,0.20405752894177,0.447044335385175,0.340994916388387,"5894/5579/408/3708/3782/5330/5332/5331/3760/779/8911/3762",12
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","20/1351","116/9521",0.172413793103448,1.21506419255213,0.94766059614471,0.204733347799587,0.447044335385175,0.340994916388387,"5567/2534/5579/818/56479/10681/596/3708/107/5330/90993/5332/5331/3784/3760/1128/1131/814/60482/779",20
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","57/1351","362/9521",0.157458563535912,1.10966912170645,0.865066992910951,0.213358891863158,0.4626763105886,0.352918619823494,"5228/3679/2260/3455/23239/7529/54541/5894/55012/7534/4170/1277/6794/4254/10681/6446/1969/3693/5515/596/3643/3551/9223/3912/2261/55844/285/2064/3479/2475/90993/5979/2322/1946/11140/3326/3655/7157/6009/284/1128/5156/1388/2263/6194/5747/9180/3672/2253/3082/1441/1293/1284/3696/7249/5617/3691",57
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","13/1351","72/9521",0.180555555555556,1.27244222386709,0.943588981313336,0.214574520852684,0.4626763105886,0.352918619823494,"5601/3551/9755/4792/5602/9474/7189/4793/843/64343/57506/5603/6885",13
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","8/1351","41/9521",0.195121951219512,1.37509703742485,0.978738143818086,0.218199725721248,0.464843623466909,0.354571795169267,"6119/5889/9577/25788/6742/472/6117/83990",8
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","5/1351","23/9521",0.217391304347826,1.53203746017443,1.0387837982657,0.219621769927844,0.464843623466909,0.354571795169267,"2805/2806/2744/384/27165",5
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","5/1351","23/9521",0.217391304347826,1.53203746017443,1.0387837982657,0.219621769927844,0.464843623466909,0.354571795169267,"6119/4436/6742/6117/5982",5
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","24/1351","144/9521",0.166666666666667,1.17456205280039,0.858290388098904,0.226376200752841,0.476218227193476,0.363248075662453,"720/29896/32/2308/7132/5609/6416/5601/83439/5465/3551/50507/4792/5602/6319/7189/23643/10891/5603/10645/1375/2919/6885/23417",24
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","21/1351","125/9521",0.168,1.1839585492228,0.841857526064219,0.233386593495793,0.485574731560505,0.370384997376434,"7132/2534/5894/55012/5579/2768/2205/5601/5515/596/55844/5602/5330/5332/130367/5331/3827/79603/7157/387/5603",21
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","17/1351","99/9521",0.171717171717172,1.21015484227919,0.854713510700578,0.233638856345055,0.485574731560505,0.370384997376434,"5567/5894/5601/2778/4853/596/2064/3479/5602/107/2475/2099/7157/5747/673/5603/182",17
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","38/1351","238/9521",0.159663865546218,1.12521070604408,0.795464656599211,0.238142540214187,0.491971116011344,0.375264009161971,"5228/5900/2260/8844/5058/10156/5567/5894/5579/805/5921/998/4254/5601/10681/1969/801/3643/3551/2261/285/3479/5602/2322/55770/1946/2903/284/2902/5156/2263/5924/4301/387/5321/2253/8399/3082",38
"Organismal Systems","Immune system","hsa04611","Platelet activation","21/1351","126/9521",0.166666666666667,1.17456205280039,0.802087671814598,0.245114174098078,0.50189050473212,0.382830285836858,"2983/5567/2534/1277/9138/2778/5739/3708/107/5330/4067/5332/5331/2977/387/5603/5321/3937/340156/7408/5028",21
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","6/1351","30/9521",0.2,1.40947446336047,0.913411727924183,0.24585360956443,0.50189050473212,0.382830285836858,"8836/6573/4524/3551/2618/2350",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","5/1351","24/9521",0.208333333333333,1.46820256600049,0.933859006882283,0.247456551428249,0.502191236722034,0.383059677133512,"2135/26035/266722/9348/64131",5
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","9/1351","49/9521",0.183673469387755,1.29441532349431,0.840180747975936,0.253351413458671,0.508981318345975,0.38823899187336,"5567/2778/116443/90993/2903/2902/2354/1388/2912",9
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","31/1351","193/9521",0.160621761658031,1.13196135658484,0.753123636095393,0.253753005088428,0.508981318345975,0.38823899187336,"56288/5058/5567/5894/5579/408/998/10681/7852/3551/57580/4792/107/5330/4067/5332/5331/1794/9547/4793/10344/5747/5196/673/2268/387/5829/2919/2868/2870/6352",31
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","17/1351","101/9521",0.168316831683168,1.18619138005584,0.764944500895115,0.260401780673929,0.516313875474169,0.393832094183195,"1856/7306/1387/5567/5894/5579/818/805/4254/2778/83439/801/107/5330/90993/5332/5331",17
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","17/1351","101/9521",0.168316831683168,1.18619138005584,0.764944500895115,0.260401780673929,0.516313875474169,0.393832094183195,"2308/5579/1958/1277/998/5601/7042/596/50507/5602/5330/5332/5331/5603/27035/183/1284",17
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","7/1351","37/9521",0.189189189189189,1.33328665453018,0.825958322952298,0.265537126006248,0.520849384384596,0.397291673825016,"7360/55907/2821/2645/5238/2582/3099",7
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","10/1351","56/9521",0.178571428571429,1.25845934228614,0.78878938878325,0.265708671454171,0.520849384384596,0.397291673825016,"3312/4792/3304/375/3689/3303/1917/56681/5861/2919",10
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","9/1351","50/9521",0.18,1.26852701702443,0.774123393491282,0.273200761032282,0.532509957944279,0.406186085388466,"2805/1159/54498/2806/79814/384/8974/112817/5832",9
"Human Diseases","Cancer: specific types","hsa05214","Glioma","13/1351","76/9521",0.171052631578947,1.20547158050567,0.731295156499619,0.276774314291511,0.534970540217389,0.408062959738664,"5894/5579/818/805/801/57172/3479/2475/57118/7157/5156/673/814",13
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","29/1351","182/9521",0.159340659340659,1.1229329515784,0.680908782351222,0.27756442521424,0.534970540217389,0.408062959738664,"1051/8844/1387/7132/5894/818/805/5601/7042/51606/596/801/5530/10312/3920/5602/3689/7189/5532/3126/5534/843/387/5603/5533/11151/4801/10333/10892",29
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","31/1351","196/9521",0.158163265306122,1.11463541745344,0.659413072749984,0.283577320440585,0.541916405535674,0.413361102620651,"1387/3455/7132/5894/805/5609/6416/5601/10681/83439/801/3551/5530/3133/285/3708/57580/4277/4792/5602/4067/2475/5532/7157/5534/5743/3572/5603/5533/2919/1827",31
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","14/1351","83/9521",0.168674698795181,1.18871340283413,0.70216135901596,0.284309766382484,0.541916405535674,0.413361102620651,"25939/5440/10623/3428/3551/79792/4792/4793/114548/51728/5434/57506/10621/6352",14
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","17/1351","103/9521",0.16504854368932,1.16315853772466,0.676993024863433,0.288244061821737,0.544849689454163,0.415598542680521,"5567/5579/1277/2778/7042/3912/384/107/5330/5332/3689/5331/3554/5747/5269/2919/1284",17
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","7/1351","38/9521",0.184210526315789,1.29820016362149,0.748965686008304,0.289007226580034,0.544849689454163,0.415598542680521,"7360/2821/132789/2645/5238/2582/3099",7
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","18/1351","110/9521",0.163636363636364,1.15320637911311,0.657189210710402,0.293573362324285,0.550450054358035,0.419870369456929,"1387/6500/655/657/5933/3400/7042/5515/8454/3399/3065/3625/79875/2200/387/6498/9765/1634",18
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","6/1351","32/9521",0.1875,1.32138230940044,0.740494527818485,0.297218263127566,0.551291939672099,0.420512539795651,"4190/1738/84532/39/112817/84693",6
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","6/1351","32/9521",0.1875,1.32138230940044,0.740494527818485,0.297218263127566,0.551291939672099,0.420512539795651,"23710/55102/5515/2475/9474/83734",6
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","15/1351","91/9521",0.164835164835165,1.1616547774949,0.630069583122226,0.306382365942754,0.563731269837229,0.430000968602005,"5894/5579/3551/5530/4792/4067/975/5532/4793/4794/3636/8519/5534/5533/10892",15
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/1351","78/9521",0.166666666666667,1.17456205280039,0.629473232998966,0.309867252535253,0.563731269837229,0.430000968602005,"720/805/5601/801/5602/3689/722/7189/114548/23643/387/5603/1072",13
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","22/1351","138/9521",0.159420289855072,1.12349413746125,0.594223942786617,0.310891877601407,0.563731269837229,0.430000968602005,"8395/998/5609/6416/10094/5601/9138/3551/6196/4792/5602/7189/8874/114548/10097/5747/387/5829/5603/6885/10163/3937",22
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","4/1351","20/9521",0.2,1.40947446336047,0.74540496578695,0.31309963166759,0.563731269837229,0.430000968602005,"7360/55907/80896/51167",4
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","9/1351","52/9521",0.173076923076923,1.21973751636964,0.646083939641566,0.314129010841119,0.563731269837229,0.430000968602005,"51478/5567/2778/3643/3479/107/6770/5743/5321",9
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","9/1351","52/9521",0.173076923076923,1.21973751636964,0.646083939641566,0.314129010841119,0.563731269837229,0.430000968602005,"482/5579/5330/5332/5331/476/477/478/3099",9
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","14/1351","85/9521",0.164705882352941,1.16074367570863,0.605319287568169,0.316266983154429,0.563731269837229,0.430000968602005,"4830/3251/1716/9615/132/205/954/221264/8623/956/84284/29922/51292/1635",14
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","17/1351","105/9521",0.161904761904762,1.1410031370061,0.590779368028004,0.316996714053398,0.563731269837229,0.430000968602005,"85301/50509/482/1277/120103/5646/6547/476/477/478/3784/1290/6519/117247/1303/1293/1284",17
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","18/1351","112/9521",0.160714285714286,1.13261340805752,0.574063366773549,0.321572455432238,0.568935882687806,0.433970925009768,"3312/7132/5601/7042/596/3551/3912/4792/5602/3304/7189/4793/3303/3655/3126/23643/5603/6885",18
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","14/1351","86/9521",0.162790697674419,1.14724665622364,0.557774730610896,0.332582169445511,0.58392870794011,0.445407099878039,"5058/5894/5579/818/685/5609/6416/5601/3084/2064/5602/2475/5747/673",14
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","5/1351","27/9521",0.185185185185185,1.30506894755599,0.645491299187599,0.335124301948237,0.58392870794011,0.445407099878039,"54511/2571/2572/39/54988",5
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","5/1351","27/9521",0.185185185185185,1.30506894755599,0.645491299187599,0.335124301948237,0.58392870794011,0.445407099878039,"11332/79071/6319/570/51495",5
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","24/1351","154/9521",0.155844155844156,1.09829178963154,0.500048884992134,0.342224996146491,0.593258947915236,0.45252398773092,"80025/195814/4830/27010/8836/23057/7360/4338/586/2677/1738/6999/5805/205/221264/29968/212/10243/51805/29922/79717/54995/2235/79646",24
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","13/1351","80/9521",0.1625,1.14519800148039,0.530312365499347,0.343918230675499,0.593258947915236,0.45252398773092,"5894/5579/596/3084/2261/2064/3479/2475/5156/2263/6194/673/3082",13
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","8/1351","47/9521",0.170212765957447,1.19955273477487,0.557667124985782,0.347741806112172,0.596870264222385,0.455278614967494,"5601/3643/3551/5602/2475/2645/9021/3099",8
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","11/1351","67/9521",0.164179104477612,1.15703127589293,0.524506509162037,0.35015405450346,0.598035390117295,0.456167345627227,"3939/5230/3945/2026/1738/84532/2821/5162/2645/3099/221",11
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","3/1351","15/9521",0.2,1.40947446336047,0.645369842520904,0.360301507563281,0.612335074430208,0.467074808871249,"2583/29906/81849",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","5/1351","28/9521",0.178571428571429,1.25845934228614,0.556935152553457,0.365055828797546,0.617373828113497,0.47091825180282,"8836/4338/5053/5805/10243",5
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","25/1351","163/9521",0.153374233128834,1.08088532466294,0.423552388581081,0.369267807548207,0.619199608551722,0.472310914227096,"6775/1387/7529/5894/5579/7534/5609/6416/5601/7042/596/3551/4792/5602/90993/7419/7189/7157/8900/843/1388/57506/673/5603/6885",25
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","15/1351","95/9521",0.157894736842105,1.11274299738985,0.449079036482182,0.36972498365697,0.619199608551722,0.472310914227096,"529/51382/526/7042/51606/528/10312/534/8992/523/3689/3126/284/2919/6352",15
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","13/1351","82/9521",0.158536585365854,1.11726634290769,0.433663065003829,0.378636315658502,0.629556813614884,0.480211146922109,"3312/567/3133/3304/10197/3303/3326/3306/3126/3308/2923/4801/5720",13
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","31/1351","205/9521",0.151219512195122,1.06570020400426,0.386690968716539,0.379558890527235,0.629556813614884,0.480211146922109,"23513/51564/1387/9734/5567/7529/7534/5933/998/2965/7337/2966/8347/2934/8369/3133/4792/4067/2959/5902/90993/7419/28973/7157/3065/8900/1388/3572/387/5829/286436",31
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","20/1351","130/9521",0.153846153846154,1.0842111256619,0.393115664016297,0.384476180372197,0.634661637456498,0.484104986618229,"5567/5894/408/1277/5609/59350/6416/5601/10681/2778/4792/5602/107/5330/90993/5332/5331/1388/5603/1284",20
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","7/1351","42/9521",0.166666666666667,1.17456205280039,0.461029106031864,0.38631825558543,0.634665705604635,0.484108089706053,"2182/2181/9474/7419/23305/7157/23657",7
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","11/1351","69/9521",0.159420289855072,1.12349413746125,0.418643305183777,0.388319197683893,0.634929493843332,0.484309301177217,"2534/5894/2205/5609/6416/5601/5602/4067/5603/5321/3937",11
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","13/1351","83/9521",0.156626506024096,1.1038053026317,0.386236861157118,0.396154103381191,0.643790864437125,0.491068546481408,"1387/6500/7323/114785/55252/5928/54881/10238/80816/3065/22823/2145/7321",13
"Organismal Systems","Digestive system","hsa04976","Bile secretion","14/1351","90/9521",0.155555555555556,1.09625791594704,0.37309029952741,0.399336941998681,0.643790864437125,0.491068546481408,"5567/482/358/2778/107/476/477/478/1576/3156/6513/361/570/6579",14
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","14/1351","90/9521",0.155555555555556,1.09625791594704,0.37309029952741,0.399336941998681,0.643790864437125,0.491068546481408,"5894/3551/5530/4792/2475/7189/5532/4793/4794/5534/5603/5533/5588/1457",14
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","17/1351","111/9521",0.153153153153153,1.07932729176252,0.341841216893107,0.406896684569401,0.650918585559419,0.49650540469826,"119504/5567/5894/5601/891/6196/51433/3479/5602/107/3326/4085/8900/80315/10393/673/5603",17
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","11/1351","70/9521",0.157142857142857,1.1074442212118,0.366883618856789,0.407531636176332,0.650918585559419,0.49650540469826,"5058/1387/2271/5894/201163/998/7042/8453/6513/673/3082",11
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","21/1351","139/9521",0.151079136690647,1.06471092556007,0.312516115745947,0.413954398107254,0.658130264271901,0.502006303792449,"3312/5567/5894/805/2778/596/801/3708/107/5330/3304/90993/5332/5331/3303/2099/3326/3760/1388/5914/3762",21
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","4/1351","23/9521",0.173913043478261,1.22562996813954,0.440534309801648,0.415891075563212,0.658176243437193,0.502041375619522,"57486/5550/10159/183",4
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","5/1351","30/9521",0.166666666666667,1.17456205280039,0.389394310379826,0.424858877609705,0.66458228182099,0.506927751198314,"1559/1576/1558/5321/8399",5
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","2/1351","10/9521",0.2,1.40947446336047,0.526803743003697,0.425631233476585,0.66458228182099,0.506927751198314,"54928/9061",2
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","20/1351","133/9521",0.150375939849624,1.05975523560938,0.282195681635598,0.426463865925914,0.66458228182099,0.506927751198314,"604/2308/1387/5894/6794/23710/114907/5601/6446/7042/891/3643/3551/9454/3479/5602/51701/472/673/5603",20
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","21/1351","140/9521",0.15,1.05710584752036,0.276793031170261,0.427644250910898,0.66458228182099,0.506927751198314,"4208/5567/5894/1958/805/10681/801/187/3708/107/5330/2475/5332/6263/5331/6547/10891/6194/814/340156/182",21
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","6/1351","37/9521",0.162162162162162,1.14281713245444,0.353932561077818,0.431031872357015,0.666843031224978,0.508652197730723,"7306/2805/2806/81889/8639/221",6
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","8/1351","51/9521",0.156862745098039,1.10547016734155,0.307096490998819,0.439067980747994,0.673237570480258,0.513529802044438,"56994/85465/5049/5048/7941/54947/5321/8399",8
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","8/1351","51/9521",0.156862745098039,1.10547016734155,0.307096490998819,0.439067980747994,0.673237570480258,0.513529802044438,"9218/6770/7419/7416/6646/948/341/3931",8
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","3/1351","17/9521",0.176470588235294,1.24365393825924,0.408864875180403,0.441644467100809,0.674191774999022,0.514257646833732,"2571/2572/570",3
"Organismal Systems","Sensory system","hsa04742","Taste transduction","13/1351","86/9521",0.151162790697674,1.06530046649338,0.247360116971292,0.448911515620803,0.68226640039285,0.520416781382799,"5567/2554/2557/5330/5136/954/5332/6326/5331/80835/1131/2558/5028",13
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","13/1351","87/9521",0.149425287356322,1.05305563354518,0.202152127197074,0.46644964035441,0.705811955799437,0.538376777879052,"5900/5894/8313/5601/7042/596/4436/83439/5602/2475/7157/673/387",13
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","21/1351","144/9521",0.145833333333333,1.02774179620035,0.136401449486743,0.482413384236028,0.722822325622401,0.551351888346606,"1856/2260/5894/657/6929/6657/8313/9314/3400/5978/2261/3479/463/3399/3977/6926/3625/2263/3572/5603/6498",21
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","17/1351","116/9521",0.146551724137931,1.03280456366931,0.144550294468904,0.483205863875844,0.722822325622401,0.551351888346606,"24146/7430/5579/998/7852/10411/5175/3689/394/51208/5747/4301/387/5829/5603/100506658/7408",17
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","6/1351","39/9521",0.153846153846154,1.0842111256619,0.214282606847342,0.483976687590651,0.722822325622401,0.551351888346606,"4524/10768/1738/2618/55349/23382",6
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","17/1351","117/9521",0.145299145299145,1.02397717423624,0.106113280327798,0.498347389379966,0.741076936793484,0.565276076882901,"54891/53615/27443/80314/5928/8110/10902/11177/57634/3015/6597/51377/3065/54556/51773/6595/51412",17
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","10/1351","68/9521",0.147058823529412,1.0363782818827,0.12241846558502,0.504111675168803,0.74643145035724,0.569360374032982,"5467/5894/83439/3551/2475/2322/8900/673/5914/862",10
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","6/1351","40/9521",0.15,1.05710584752036,0.147169774417828,0.509880079333789,0.751746270812638,0.573414394212538,"7360/283209/2992/2821/2645/3099",6
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","24/1351","168/9521",0.142857142857143,1.00676747382891,0.0359866051753928,0.519847548537868,0.763180443598146,0.582136112584398,"5478/6775/292/3455/51510/7132/8795/818/291/5601/596/5602/7419/3015/10059/3326/7416/114548/8878/25978/27243/7128/5481/5321",24
"Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","2/1351","12/9521",0.166666666666667,1.17456205280039,0.246041383388667,0.52443262759087,0.766649392029026,0.584782144949677,"2677/51805",2
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","6/1351","41/9521",0.146341463414634,1.03132277806864,0.0817303113791393,0.535284270600192,0.777058544893866,0.592722002207373,"1738/8639/55349/29968/212/5723",6
NA,NA,"hsa04081","Hormone signaling","31/1351","219/9521",0.141552511415525,0.997573250323623,-0.0147738603879717,0.536057778796348,0.777058544893866,0.592722002207373,"7067/5567/657/2768/6794/887/10681/2778/3643/10411/5368/6750/3479/107/5330/5332/6751/5331/2099/885/7253/10266/1392/117247/7434/387/4987/183/552/5617/7068",31
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","11/1351","77/9521",0.142857142857143,1.00676747382891,0.0242453846630419,0.540266092717272,0.779882016683929,0.594875680155552,"5900/5894/998/5601/7042/3551/2064/5602/2475/7157/673",11
"Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","3/1351","20/9521",0.15,1.05710584752036,0.103955157466492,0.55490613523863,0.797677569405531,0.60844970969148,"1629/1738/5162",3
"Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","2/1351","13/9521",0.153846153846154,1.0842111256619,0.123546851649205,0.569345850185844,0.815038665203801,0.621692345693212,"2547/2237",2
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","4/1351","28/9521",0.142857142857143,1.00676747382891,0.0145827348934935,0.576261600226553,0.816066331404258,0.622476225327428,"11332/79071/51102/51495",4
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","11/1351","79/9521",0.139240506329114,0.981279689681342,-0.0679406522038375,0.576442958882578,0.816066331404258,0.622476225327428,"5579/7042/4792/3689/7189/4793/3126/1917/5743/5603/6885",11
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/1351","50/9521",0.14,0.986632124352332,-0.0385375943724918,0.577159956123591,0.816066331404258,0.622476225327428,"7042/5175/3689/975/948/3082/6382",7
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","6/1351","43/9521",0.13953488372093,0.983354276763121,-0.0444850072338725,0.584295774199655,0.819439195523906,0.625048966837457,"2182/2181/23305/39/1375/23205",6
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","6/1351","43/9521",0.13953488372093,0.983354276763121,-0.0444850072338725,0.584295774199655,0.819439195523906,0.625048966837457,"1056/2806/376497/39/948/8399",6
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","8/1351","58/9521",0.137931034482759,0.972051354041706,-0.0868151398985647,0.592027586197686,0.82692112242187,0.630756004898451,"4830/1807/221264/8623/318/956/29922/1635",8
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","6/1351","44/9521",0.136363636363636,0.961005315927596,-0.105422042083835,0.607778261047709,0.842102409885379,0.642335934313791,"10038/8930/56655/55775/2237/5982",6
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","6/1351","44/9521",0.136363636363636,0.961005315927596,-0.105422042083835,0.607778261047709,0.842102409885379,0.642335934313791,"3382/5799/3133/2571/2572/3126",6
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","5/1351","37/9521",0.135135135135135,0.952347610378699,-0.118093200796661,0.618665844387415,0.850357435512582,0.648632673922641,"5579/5330/5332/5331/3827",5
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","5/1351","37/9521",0.135135135135135,0.952347610378699,-0.118093200796661,0.618665844387415,0.850357435512582,0.648632673922641,"7170/83439/5979/7157/673",5
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","21/1351","155/9521",0.135483870967742,0.954805281631289,-0.23068086817674,0.626508774995562,0.857720346720114,0.654248929611071,"1856/2271/5567/818/8313/2778/83439/3777/3708/107/5330/6770/90993/5332/5331/1388/1392/673/183/779/8911",21
"Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4/1351","30/9521",0.133333333333333,0.939649642240316,-0.134623107164531,0.63301345305211,0.862303231201565,0.65774464622545,"51227/2822/51604/23556",4
